appliance_type,appliance_power_watts,usage_hours,temperature_c,room_size_m2,number_of_people,time_of_day,day_type,previous_consumption_kwh,energy_consumption_kwh
 Refrigerator ,128,24.0,25,,2,Morning,Weekday,3.39,3.4
TV,36,3.7,19,15,2,morning,WEEKEND,0.1,0.15
TV,188W,2.5,18,36,1,Afternoon,Weekend,,0.4
Microwave,1023,0.3,27,47,6,Afternoon,weekday,N/A,0.46
Washing Machine,469,1.1,28,50,6,Evening,weekday,1.43,0.82
Washing Machine,516,2.3,23,24,3,Afternoon,Weekday,1.78,1.32
heater ,1586,6.7,7,11,5,Evening,Weekend,11.55,11.37
heater ,1427,5.8,4,54,4,Afternoon ,Weekday,10.89,10.87
TV,183,4.6,26,54,6, EVENING ,Weekday,1.47,0.96
AC,1862,6.5,31,30,1,Night,weekday,12.5,12.98
heater ,1554,6.1,13,28,4,Afternoon,Weekend,11.34,11.49
Air Conditioner,1850,6.3,42,41,4,Afternoon ,WEEKEND,14.18,14.39
refrigerator,132,24.0,19,49,3,morning,Weekend,3.84,3.39
 TV ,25W,3.2,19,39,2,Night,weekday,0.39,0.11
air conditioner,2001,4.3,28,36,6,Evening,Weekend,10.54,10.6
Washing Machine,556,1.1,26,48,1,Afternoon,weekday,0.94,0.62
Heater,1663,5.4,5,,5,Afternoon ,WEEKEND,10.12,10.93
 TV ,195,1.8,26,22,4,Evening,Weekend,0.8,0.51
Washing Machine,570,0.5,18,47,6,morning,WEEKEND,0.57,0.54
Microwave,1020,1.0,19,16,3,Evening,WEEKEND,0.85,1.15
Microwave,1026,0.2,25,51,missing,morning,Weekday,missing,0.17
heater ,1454,3.4,10,41,5,Afternoon,Weekend,5.54,5.61
air conditioner,2008,4.1,30,48,6,Morning,Weekend,10.89,10.82
Microwave,1194,0.9,31,31,1,morning,WEEKEND,0.64,0.95
washing machine,544,2.7,18,49,5,Afternoon,Weekday,2.15,1.63
Washing Machine,482,0.8,31,26,unknown,Night,weekday,0.56,0.53
Microwave,15000,0.2,31,48,6,Afternoon ,weekday,?,0.44
Heater,1571,6.3,14,18,1,Afternoon,WEEKEND,8.34,8.6
AC,1797,7.0,30,unknown,6,Morning,Weekend,14.16,13.58
washing machine,627,1.5,25,35,1,Morning,weekday,0.81,0.8
refrigerator,282,24.0,18,26,3,Morning,weekday,6.82,6.03
refrigerator,249,24.0,27,25,1, EVENING ,WEEKEND,5.72,5.4
heater ,1485,5.3,12,53,3, EVENING ,Weekday,unknown,9.62
air conditioner,2093,5.0,36,54,3,Morning,WEEKEND,13.24,13.64
Heater,1535,4.9,15,54,2,Afternoon,Weekday,8.33,7.93
 TV ,76,4.2,20,unknown,6,Afternoon ,Weekend,N/A,0.58
 TV ,131,2.1,28,41,3, EVENING ,weekday,0.42,0.33
heater ,1491,2.8,15,43,5,Afternoon,Weekday,4.99,5.64
TV,118,4.3,22,28,4,morning,weekday,0.45,0.59
Microwave,1133,1.9,30,26,3,Afternoon,Weekday,2.62,2.14
Microwave,1169,0.7,30,22,3, EVENING ,WEEKEND,0.52,0.82
Heater,1686,5.0,5,39,6,Afternoon ,WEEKEND,11.25,11.18
Microwave,1114,0.2,27,32,missing, EVENING ,WEEKEND,0.1,0.25
heater ,1594,4.7,9,12,6,Night,Weekday,7.61,7.91
 Refrigerator ,234,24.0,23,19,5,Afternoon ,weekday,6.3,6.09
Washing Machine,533,2.3,27,46,4,Night,Weekday,1.26,1.28
Washing Machine,519,1.9,30,30,3, EVENING ,Weekend,1.02,1.13
 TV ,166,4.9,24,49,5, EVENING ,Weekend,1.12,0.93
Washing Machine,574,2.1,23,36,?,Evening,Weekday,2.14,1.41
Air Conditioner,1734,4.8,31,20,3,morning,weekday,9.12,9.13
Microwave,1047,1.7,22,44,6,Afternoon ,weekday,2.02,2.08
air conditioner,2096,5.0,32,19,3,Morning,WEEKEND,13.01,13.16
 TV ,162,3.3,21,28,3,morning,weekday,0.8,0.61
heater ,1413,5.4,14,41,unknown,morning,Weekend,8.92,9.03
Heater,1574W,5.2,8,53,5,Morning,Weekday,9.42,9.39
Air Conditioner,1763,5.3,34,13,1,Afternoon ,WEEKEND,10.52,9.97
Air Conditioner,1792,7.6,41,23,2,Night,WEEKEND,16.98,17.27
AC,1736,9.6,28,47,2,Night,Weekend,21.53,21.06
Heater,1542,4.2,9,29,?,Night,WEEKEND,8.09,7.85
 TV ,16,2.4,30,36,5,Afternoon ,WEEKEND,0.1,0.18
Air Conditioner,1818W,5.8,36,17,5,Afternoon ,Weekday,11.66,11.72
AC,1770,5.8,39,43,3,Night,Weekend,12.94,13.03
 Refrigerator ,114,24.0,22,?,3,morning,Weekend,2.54,2.91
Heater,1559,6.4,13,48,missing,Night,Weekday,10.18,9.92
refrigerator,281,24.0,23,19,6,Evening,WEEKEND,7.75,7.78
Air Conditioner,1764,4.2,34,unknown,2,Morning,weekday,9.48,9.67
heater ,1421,4.7,12,27,3,Morning,WEEKEND,6.69,7.05
AC,1776,6.0,36,21,4, EVENING ,weekday,11.76,11.66
AC,1843,6.9,34,?,4,morning,Weekday,12.87,12.3
TV,33,5.6,23,13,4,Afternoon ,WEEKEND,unknown,0.32
Washing Machine,640,0.6,23,37,5,morning,Weekend,0.34,0.5
Washing Machine,649,2.3,24,17,6,Morning,Weekend,1.71,1.86
air conditioner,2086,4.5,39,40,5,Morning,weekday,12.93,13.13
TV,103,3.3,24,missing,4,morning,Weekday,0.56,0.45
 Refrigerator ,180,24.0,23,45,,Morning,weekday,3.77,4.05
Heater,1608,5.3,10,17,3,Afternoon ,Weekday,10.11,9.63
washing machine,501W,1.8,23,27,1, EVENING ,weekday,N/A,0.84
AC,1712W,5.9,38,30,6,Evening,WEEKEND,11.51,11.62
Microwave,1052,2.4,24,39,1,Morning,WEEKEND,?,2.6
heater ,1431,4.7,15,42,5,Evening,Weekend,7.2,6.94
TV,209,5.6,20,20,3,Afternoon ,Weekday,0.82,1.25
refrigerator,174,24.0,25,32,6, EVENING ,Weekend,4.52,4.77
air conditioner,1953,4.3,35,50,1,Morning,Weekday,10.28,10.25
air conditioner,2002,5.3,39,26,6,Evening,WEEKEND,13.99,14.13
washing machine,536,1.0,20,missing,6,Afternoon,Weekday,0.94,0.68
air conditioner,2085,6.5,39,44,6,Evening,WEEKEND,15.55,15.93
Heater,1596W,99.0,15,17,2, EVENING ,Weekday,7.02,6.99
TV,171,1.0,31,51,1,Afternoon,WEEKEND,0.59,0.13
air conditioner,2051,6.1,32,12,2,Night,Weekend,13.26,13.04
AC,1783,6.9,39,32,4,Afternoon ,WEEKEND,14.05,13.77
heater ,1465,4.7,6,30,1,morning,Weekend,8.38,8.69
TV,129,4.0,21,24,6,Morning,Weekday,1.02,0.61
Washing Machine,562,0.6,28,53,4,Evening,Weekend,1.01,0.44
Heater,1637,5.2,12,17,3,morning,WEEKEND,9.39,9.66
heater ,1454,3.4,10,41,5,Afternoon,Weekend,5.54,5.61
refrigerator,248,24.0,27,33,4,morning,WEEKEND,5.5,5.24
Microwave,1160,0.3,25,48,2,Night,Weekday,0.38,0.34
Heater,1690,5.7,7,unknown,5,Evening,Weekend,12.46,12.43
 Refrigerator ,189W,24.0,26,39,3,Afternoon ,weekday,4.83,4.71
Washing Machine,591,1.3,21,42,2,morning,Weekend,0.31,0.67
Air Conditioner,1807,7.2,29,42,5,Evening,Weekend,17.01,16.79
Microwave,1169,0.7,30,22,3, EVENING ,WEEKEND,0.52,0.82
Washing Machine,649,1.3,19,12,6, EVENING ,Weekend,0.88,0.92
Microwave,1190,0.4,23,41,5,Afternoon ,weekday,0.95,0.61
TV,182,4.8,26,12,6,Morning,WEEKEND,1.07,1.07
air conditioner,2092,6.3,31,49,3,Evening,Weekday,?,15.05
heater ,1498,4.2,12,39,1,Morning,Weekend,,9.08
Heater,1646,5.7,9,12,3,Afternoon,WEEKEND,10.03,10.01
Air Conditioner,1785W,4.7,120,53,1,Morning,Weekday,13.64,13.38
Air Conditioner,1762,6.0,28,21,5,Evening,Weekend,11.96,11.82
AC,1746,6.6,36,23,1,morning,Weekend,14.26,14.2
 Refrigerator ,151,24.0,26,20,6,Morning,Weekend,3.9,4.14
air conditioner,2086,4.5,39,40,5,Morning,weekday,12.93,13.13
 Refrigerator ,192,24.0,23,34,missing,Afternoon,Weekday,4.96,4.88
